Node,Organism,Type,Pathway,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
rn:R00342,bsu,reaction,Carbon metabolism,0.0015873015873015873,0.003621864457030711,0.06579634464751959,0.004727970283840722
cpd:C00149,bsu,metabolite,Carbon metabolism,0.004761904761904762,0.04646726173711602,0.06729690754686748,0.010892662420647826
cpd:C00036,bsu,metabolite,Biosynthesis of amino acids,0.004761904761904762,0.1267644852305729,0.06711766899270229,0.01126891407720539
rn:R00351,bsu,reaction,Biosynthesis of amino acids,0.003968253968253968,0.07769635658435796,0.0670926517571885,0.009142839650025329
cpd:C00024,bsu,metabolite,Degradation of aromatic compounds,0.007936507936507936,0.24821717583566957,0.06869105380799215,0.01637286774848814
 cpd:C00036,bsu,metabolite,Biosynthesis of secondary metabolites,0.0007936507936507937,0.0,0.06287738909127202,0.0019527608257119762
cpd:C00158,bsu,metabolite,Biosynthesis of amino acids,0.002380952380952381,0.007811568540744817,0.06314206965672764,0.0021816572495212227
rn:R01325,bsu,reaction,2-Oxocarboxylic acid metabolism,0.0015873015873015873,0.0016137213296003711,0.0594059405940594,0.0004952275507963183
cpd:C00417,bsu,metabolite,2-Oxocarboxylic acid metabolism,0.0015873015873015873,0.00040138236600742965,0.05659614607195796,0.00013543244974324829
rn:R01900,bsu,reaction,2-Oxocarboxylic acid metabolism,0.0015873015873015873,0.00037244109616728805,0.055171205884928624,0.00013762227105231298
cpd:C00311,bsu,metabolite,Biosynthesis of amino acids,0.004761904761904762,0.010995680325868354,0.05837927998888014,0.0005062991083942415
rn:R02164,bsu,reaction,Carbon metabolism,0.0015873015873015873,0.0017279817167765495,0.05750798722044728,0.00019791454431196672
cpd:C00042,bsu,metabolite,Carbon metabolism,0.003968253968253968,0.007081555511744783,0.05735354362965998,0.00026358313993966827
cpd:C00122,bsu,metabolite,Carbon metabolism,0.0031746031746031746,0.019257903917074937,0.06011163589523401,0.0006617859623706148
rn:R00405,bsu,reaction,Carbon metabolism,0.0015873015873015873,0.0027111024796895398,0.05831173639392818,0.00026244371241317
cpd:C00091,bsu,metabolite,2-Oxocarboxylic acid metabolism,0.003968253968253968,0.012326692838395858,0.06161067918439196,0.0009614650538168707
rn:R01197,bsu,reaction,Biosynthesis of secondary metabolites,0.0015873015873015873,0.0027642157301757063,0.060333269488603715,0.0006598224541843069
cpd:C00026,bsu,metabolite,Biosynthesis of amino acids,0.00873015873015873,0.042009280163161654,0.06265227984684998,0.0021177727649365195
rn:R01082,bsu,reaction,Carbon metabolism,0.0015873015873015873,0.018201797922930533,0.06332931242460796,0.002465686375127146
rn:R01899,bsu,reaction,2-Oxocarboxylic acid metabolism,0.0015873015873015873,0.00028708077863094005,0.055171205884928624,0.00013718877651397874
cpd:C05379,bsu,metabolite,2-Oxocarboxylic acid metabolism,0.0015873015873015873,0.00027450428691206,0.055977608956417436,0.00013298649321970111
rn:R00268,bsu,reaction,2-Oxocarboxylic acid metabolism,0.0015873015873015873,0.001572203568041311,0.05897219882055602,0.00048249009352786294
rn:R00209,bsu,reaction,2-Oxocarboxylic acid metabolism,0.0015873015873015873,0.0760810295459315,0.06981382978723404,0.016560333042855663
cpd:C00022,bsu,metabolite,Degradation of aromatic compounds,0.010317460317460317,0.4143436719129578,0.07250129466597618,0.06127815041082773
rn:R00199,bsu,reaction,Carbon metabolism,0.0015873015873015873,0.03526190194530498,0.06907137375287797,0.021986034885132483
cpd:C00074,bsu,metabolite,Biosynthesis of amino acids,0.004761904761904762,0.13359447426218346,0.06795016987542468,0.04188836483184889
rn:R00658,bsu,reaction,Biosynthesis of amino acids,0.0015873015873015873,0.011238031806295972,0.06370714935787239,0.009402325284837209
cpd:C00631,bsu,metabolite,Biosynthesis of amino acids,0.002380952380952381,0.009757932552917693,0.05996858788253772,0.002254013981679673
rn:R00235,bsu,reaction,Carbon metabolism,0.0015873015873015873,0.01210526227565599,0.06448311156601842,0.0040166970697922185
cpd:C00033,bsu,metabolite,Carbon metabolism,0.003968253968253968,0.028105444721914424,0.06220686250308566,0.0024337801427338035
rn:R00710,bsu,reaction,Microbial metabolism in diverse environments,0.0015873015873015873,0.00445762554038747,0.062099556431739776,0.0018179557892652669
cpd:C00084,bsu,metabolite,Degradation of aromatic compounds,0.0031746031746031746,0.010490360365137749,0.0659789495732314,0.0060831999793056115
rn:R00746,bsu,reaction,Microbial metabolism in diverse environments,0.0015873015873015873,0.0015873015873015873,0.06190429399626609,0.001359638718174623
cpd:C00469,bsu,metabolite,Microbial metabolism in diverse environments,0.0007936507936507937,0.0,0.05829824642576227,0.0002901261010864611
rn:R00341,bsu,reaction,Carbon metabolism,0.0015873015873015873,0.026679318205912274,0.06693582660433489,0.011325811103944908
rn:R01518,bsu,reaction,Biosynthesis of amino acids,0.0015873015873015873,0.002204381581436239,0.056998100063331225,0.000675009825979745
