Pathway,Reactions,Substrates,Products
Biosynthesis of secondary metabolites,rn:R00342,cpd:C00149,cpd:C00036
Biosynthesis of secondary metabolites,rn:R00351,"cpd:C00024, cpd:C00036",cpd:C00158
Biosynthesis of secondary metabolites,rn:R01325,cpd:C00158,cpd:C00417
Biosynthesis of secondary metabolites,rn:R01900,cpd:C00311,cpd:C00417
Biosynthesis of secondary metabolites,rn:R02164,cpd:C00042,cpd:C00122
Biosynthesis of secondary metabolites,rn:R00405,cpd:C00042,cpd:C00091
Biosynthesis of secondary metabolites,rn:R01197,cpd:C00026,cpd:C00091
Biosynthesis of secondary metabolites,rn:R01082,cpd:C00149,cpd:C00122
Biosynthesis of secondary metabolites,rn:R01899,cpd:C00311,cpd:C05379
Biosynthesis of secondary metabolites,rn:R00268,cpd:C05379,cpd:C00026
Biosynthesis of secondary metabolites,rn:R00209,cpd:C00022,cpd:C00024
Biosynthesis of secondary metabolites,rn:R00199,cpd:C00022,cpd:C00074
Biosynthesis of secondary metabolites,rn:R00658,cpd:C00631,cpd:C00074
Biosynthesis of secondary metabolites,rn:R00235,cpd:C00033,cpd:C00024
Biosynthesis of secondary metabolites,rn:R00710,cpd:C00084,cpd:C00033
Biosynthesis of secondary metabolites,rn:R00746,cpd:C00469,cpd:C00084
Biosynthesis of secondary metabolites,rn:R00341,cpd:C00036,cpd:C00074
Biosynthesis of secondary metabolites,rn:R01518,cpd:C00631,cpd:C00197
Biosynthesis of secondary metabolites,rn:R01512,cpd:C00197,cpd:C00236
Biosynthesis of secondary metabolites,rn:R01061,cpd:C00118,cpd:C00236
Biosynthesis of secondary metabolites,rn:R01015,cpd:C00118,cpd:C00111
Biosynthesis of secondary metabolites,rn:R01068,cpd:C00354,"cpd:C00111, cpd:C00118"
Biosynthesis of secondary metabolites,rn:R00764,cpd:C00085,cpd:C00354
Biosynthesis of secondary metabolites,rn:R13199,cpd:C00668,cpd:C00085
Biosynthesis of secondary metabolites,rn:R00959,cpd:C00103,cpd:C00668
Biosynthesis of secondary metabolites,rn:R01786,cpd:C00267,cpd:C00668
Biosynthesis of secondary metabolites,rn:R02739,cpd:C00668,cpd:C01172
Biosynthesis of secondary metabolites,rn:R01600,cpd:C00221,cpd:C01172
Biosynthesis of secondary metabolites,rn:R02736,cpd:C01172,cpd:C01236
Biosynthesis of secondary metabolites,rn:R02035,cpd:C01236,cpd:C00345
Biosynthesis of secondary metabolites,rn:R01529,cpd:C00199,cpd:C00231
Biosynthesis of secondary metabolites,rn:R01067,"cpd:C00085, cpd:C00118","cpd:C00279, cpd:C00231"
Biosynthesis of secondary metabolites,rn:R08575,"cpd:C05382, cpd:C00118","cpd:C00085, cpd:C00279"
Biosynthesis of secondary metabolites,rn:R01641,"cpd:C05382, cpd:C00118","cpd:C00117, cpd:C00231"
Biosynthesis of secondary metabolites,rn:R01056,cpd:C00117,cpd:C00199
Biosynthesis of secondary metabolites,rn:R01049,cpd:C00117,cpd:C00119
Biosynthesis of secondary metabolites,rn:R01737,cpd:C00257,cpd:C00345
Biosynthesis of secondary metabolites,rn:R01826,"cpd:C00074, cpd:C00279",cpd:C04691
Biosynthesis of secondary metabolites,rn:R03083,cpd:C04691,cpd:C00944
Biosynthesis of secondary metabolites,rn:R03084,cpd:C00944,cpd:C02637
Biosynthesis of secondary metabolites,rn:R02412,cpd:C00493,cpd:C03175
Biosynthesis of secondary metabolites,rn:R01714,cpd:C01269,cpd:C00251
Biosynthesis of secondary metabolites,rn:R01715,cpd:C00251,cpd:C00254
Biosynthesis of secondary metabolites,rn:R01373,cpd:C00254,cpd:C00166
Biosynthesis of secondary metabolites,rn:R00688,cpd:C00079,cpd:C00166
Biosynthesis of secondary metabolites,rn:R00734,cpd:C00082,cpd:C01179
Biosynthesis of secondary metabolites,rn:R00985,cpd:C00251,cpd:C00108
Biosynthesis of secondary metabolites,rn:R01073,cpd:C04302,cpd:C00108
Biosynthesis of secondary metabolites,rn:R03509,cpd:C04302,cpd:C01302
Biosynthesis of secondary metabolites,rn:R03508,cpd:C01302,cpd:C03506
Biosynthesis of secondary metabolites,rn:R02722,cpd:C03506,cpd:C00078
Biosynthesis of secondary metabolites,rn:R00674,cpd:C00463,cpd:C00078
Biosynthesis of secondary metabolites,rn:R02340,cpd:C03506,cpd:C00463
Biosynthesis of secondary metabolites,rn:R04998,cpd:C05839,cpd:C05838
Biosynthesis of secondary metabolites,rn:R04300,cpd:C03758,cpd:C04043
Biosynthesis of secondary metabolites,rn:R00355,cpd:C00049,cpd:C00036
Biosynthesis of secondary metabolites,rn:R01954,"cpd:C00327, cpd:C00049",cpd:C03406
Biosynthesis of secondary metabolites,rn:R01086,cpd:C03406,"cpd:C00062, cpd:C00122"
Biosynthesis of secondary metabolites,rn:R00552,cpd:C00062,cpd:C00327
Biosynthesis of secondary metabolites,rn:R00670,cpd:C00077,cpd:C00134
Biosynthesis of secondary metabolites,rn:R00480,cpd:C00049,cpd:C03082
Biosynthesis of secondary metabolites,rn:R02291,cpd:C00441,cpd:C03082
Biosynthesis of secondary metabolites,rn:R04198,cpd:C03972,cpd:C20258
Biosynthesis of secondary metabolites,rn:R02735,cpd:C00666,cpd:C00680
Biosynthesis of secondary metabolites,rn:R05636,"cpd:C00022, cpd:C00118",cpd:C11437
Biosynthesis of secondary metabolites,rn:R05688,cpd:C11434,cpd:C11437
Biosynthesis of secondary metabolites,rn:R05633,cpd:C11434,cpd:C11435
Biosynthesis of secondary metabolites,rn:R05634,cpd:C11435,cpd:C11436
Biosynthesis of secondary metabolites,rn:R05637,cpd:C11436,cpd:C11453
Biosynthesis of secondary metabolites,rn:R00238,cpd:C00024,cpd:C00332
Biosynthesis of secondary metabolites,rn:R01072,cpd:C03090,cpd:C00119
Biosynthesis of secondary metabolites,rn:R04144,cpd:C03090,cpd:C03838
Biosynthesis of secondary metabolites,rn:R04325,cpd:C03838,cpd:C04376
Biosynthesis of secondary metabolites,rn:R04463,cpd:C04376,cpd:C04640
Biosynthesis of secondary metabolites,rn:R04208,cpd:C04640,cpd:C03373
Biosynthesis of secondary metabolites,rn:R07404,cpd:C03373,cpd:C15667
Biosynthesis of secondary metabolites,rn:R07405,cpd:C15667,cpd:C04751
Biosynthesis of secondary metabolites,rn:R04591,cpd:C04751,cpd:C04823
Biosynthesis of secondary metabolites,rn:R04559,cpd:C04823,cpd:C04677
Biosynthesis of secondary metabolites,rn:R04560,cpd:C04677,cpd:C04734
Biosynthesis of secondary metabolites,rn:R01127,cpd:C00130,cpd:C04734
Biosynthesis of secondary metabolites,rn:R01130,cpd:C00130,cpd:C00655
Biosynthesis of secondary metabolites,rn:R02719,cpd:C00655,cpd:C01762
Biosynthesis of secondary metabolites,rn:R02143,cpd:C01762,cpd:C00385
Biosynthesis of secondary metabolites,rn:R02142,cpd:C00655,cpd:C00385
Biosynthesis of secondary metabolites,rn:R01773,cpd:C00263,cpd:C00441
Biosynthesis of secondary metabolites,rn:R01777,cpd:C00263,cpd:C01118
Biosynthesis of secondary metabolites,rn:R00650,cpd:C00155,cpd:C00073
Biosynthesis of secondary metabolites,rn:R08620,cpd:C17210,cpd:C17212
Biosynthesis of secondary metabolites,rn:R08622,cpd:C17211,cpd:C17213
Biosynthesis of secondary metabolites,rn:R00451,cpd:C00680,cpd:C00047
Biosynthesis of secondary metabolites,rn:R00305,cpd:C00031,cpd:C00198
Biosynthesis of secondary metabolites,rn:R00483,cpd:C00152,cpd:C00049
Biosynthesis of secondary metabolites,rn:R00122,cpd:C00020,cpd:C00008
Biosynthesis of secondary metabolites,rn:R00086,cpd:C00008,cpd:C00002
Biosynthesis of secondary metabolites,rn:R02413,cpd:C00493,cpd:C02637
Biosynthesis of secondary metabolites,rn:R01248,cpd:C00148,cpd:C03912
Biosynthesis of secondary metabolites,rn:R01122,cpd:C00235,cpd:C04432
Biosynthesis of secondary metabolites,rn:R00669,cpd:C00437,cpd:C00077
Biosynthesis of secondary metabolites,rn:R02283,cpd:C00437,cpd:C01250
Biosynthesis of secondary metabolites,rn:R03443,cpd:C01250,cpd:C04133
Biosynthesis of secondary metabolites,rn:R02649,cpd:C00624,cpd:C04133
Biosynthesis of secondary metabolites,rn:R00259,cpd:C00025,cpd:C00624
Biosynthesis of secondary metabolites,rn:R00093,cpd:C00025,cpd:C00026
Biosynthesis of secondary metabolites,rn:R05578,cpd:C00025,cpd:C02987
Biosynthesis of secondary metabolites,rn:R04109,cpd:C02987,cpd:C03741
Biosynthesis of secondary metabolites,rn:R02272,cpd:C00430,cpd:C03741
Biosynthesis of secondary metabolites,rn:R00036,cpd:C00430,cpd:C00931
Biosynthesis of secondary metabolites,rn:R00084,cpd:C00931,cpd:C01024
Biosynthesis of secondary metabolites,rn:R03165,cpd:C01024,cpd:C01051
Biosynthesis of secondary metabolites,rn:R03197,cpd:C01051,cpd:C03263
Biosynthesis of secondary metabolites,rn:R03220,cpd:C03263,cpd:C01079
Biosynthesis of secondary metabolites,rn:R03222,cpd:C01079,cpd:C02191
Biosynthesis of secondary metabolites,rn:R03877,cpd:C02191,cpd:C03516
Biosynthesis of secondary metabolites,rn:R00310,cpd:C02191,cpd:C00032
Biosynthesis of secondary metabolites,rn:R07412,cpd:C15672,cpd:C15670
Biosynthesis of secondary metabolites,rn:R03194,cpd:C01051,cpd:C02463
Biosynthesis of secondary metabolites,rn:R03947,cpd:C02463,cpd:C05778
Biosynthesis of secondary metabolites,rn:R02864,cpd:C00748,cpd:C05778
Biosynthesis of secondary metabolites,rn:R01301,cpd:C02949,cpd:C00156
Biosynthesis of secondary metabolites,rn:R04985,cpd:C05807,cpd:C05848
Biosynthesis of secondary metabolites,rn:R08768,cpd:C05807,cpd:C17551
Biosynthesis of secondary metabolites,rn:R08769,cpd:C17551,cpd:C17552
Biosynthesis of secondary metabolites,rn:R12658,cpd:C17552,cpd:C19858
Biosynthesis of secondary metabolites,rn:R09737,cpd:C19858,cpd:C19859
Biosynthesis of secondary metabolites,rn:R12067,cpd:C19859,cpd:C21860
Biosynthesis of secondary metabolites,rn:R12657,cpd:C21860,cpd:C00390
Biosynthesis of secondary metabolites,rn:R05000,"cpd:C00156, cpd:C05847",cpd:C05848
Biosynthesis of secondary metabolites,rn:R01302,cpd:C00156,cpd:C00251
Biosynthesis of secondary metabolites,rn:R01717,cpd:C00251,cpd:C00885
Biosynthesis of secondary metabolites,rn:R07262,cpd:C15547,cpd:C03657
Biosynthesis of secondary metabolites,rn:R09736,cpd:C19847,cpd:C05819
Biosynthesis of secondary metabolites,rn:R00226,cpd:C06010,cpd:C00022
Biosynthesis of secondary metabolites,rn:R05071,cpd:C06010,cpd:C04181
Biosynthesis of secondary metabolites,rn:R04440,cpd:C04272,cpd:C04181
Biosynthesis of secondary metabolites,rn:R04441,cpd:C04272,cpd:C00141
Biosynthesis of secondary metabolites,rn:R01214,cpd:C00183,cpd:C00141
Biosynthesis of secondary metabolites,rn:R03968,cpd:C02504,cpd:C02631
Biosynthesis of secondary metabolites,rn:R04001,cpd:C04411,cpd:C02631
Biosynthesis of secondary metabolites,rn:R04426,cpd:C04411,cpd:C04236
Biosynthesis of secondary metabolites,rn:R01088,cpd:C00123,cpd:C00233
Biosynthesis of secondary metabolites,rn:R00220,cpd:C00065,cpd:C00022
Biosynthesis of secondary metabolites,rn:R00945,cpd:C00037,cpd:C00065
Biosynthesis of secondary metabolites,rn:R00751,cpd:C00188,cpd:C00037
Biosynthesis of secondary metabolites,rn:R00996,cpd:C00188,cpd:C00109
Biosynthesis of secondary metabolites,rn:R08648,cpd:C00109,cpd:C06006
Biosynthesis of secondary metabolites,rn:R05069,cpd:C06006,cpd:C14463
Biosynthesis of secondary metabolites,rn:R05068,cpd:C06007,cpd:C14463
Biosynthesis of secondary metabolites,rn:R05070,cpd:C06007,cpd:C00671
Biosynthesis of secondary metabolites,rn:R02196,cpd:C00407,cpd:C00671
Biosynthesis of secondary metabolites,rn:R06602,cpd:C00885,cpd:C00805
Biosynthesis of secondary metabolites,rn:R07644,cpd:C00196,cpd:C05821
Biosynthesis of secondary metabolites,rn:R03172,cpd:C15980,cpd:C03345
Biosynthesis of secondary metabolites,rn:R04204,cpd:C04405,cpd:C03345
Biosynthesis of secondary metabolites,rn:R04203,cpd:C04405,cpd:C03344
Biosynthesis of secondary metabolites,rn:R00177,cpd:C00019,cpd:C00073
Biosynthesis of secondary metabolites,rn:R06447,cpd:C00448,cpd:C04574
Biosynthesis of secondary metabolites,rn:R01627,cpd:C02637,cpd:C00230
Biosynthesis of secondary metabolites,rn:R01071,cpd:C02739,cpd:C00119
Biosynthesis of secondary metabolites,rn:R04035,cpd:C02739,cpd:C02741
Biosynthesis of secondary metabolites,rn:R04037,cpd:C02741,cpd:C04896
Biosynthesis of secondary metabolites,rn:R04640,cpd:C04896,cpd:C04916
Biosynthesis of secondary metabolites,rn:R04558,cpd:C04916,cpd:C04666
Biosynthesis of secondary metabolites,rn:R03457,cpd:C04666,cpd:C01267
Biosynthesis of secondary metabolites,rn:R03243,cpd:C01100,cpd:C01267
Biosynthesis of secondary metabolites,rn:R03012,cpd:C00860,cpd:C01929
Biosynthesis of secondary metabolites,rn:R01163,cpd:C01929,cpd:C00135
Biosynthesis of secondary metabolites,rn:R00489,cpd:C00049,cpd:C00099
Biosynthesis of secondary metabolites,rn:R02473,"cpd:C00522, cpd:C00099",cpd:C00864
Biosynthesis of secondary metabolites,rn:R01226,cpd:C00141,cpd:C00966
Biosynthesis of secondary metabolites,rn:R02472,cpd:C00522,cpd:C00966
Biosynthesis of secondary metabolites,rn:R09248,cpd:C00448,cpd:C04146
Biosynthesis of secondary metabolites,rn:R00742,cpd:C00024,cpd:C00083
Biosynthesis of secondary metabolites,rn:R01213,cpd:C02504,"cpd:C00141, cpd:C00024"
Biosynthesis of secondary metabolites,rn:R01334,cpd:C00988,cpd:C00160
Biosynthesis of secondary metabolites,rn:R00475,"cpd:C00160, cpd:C00007","cpd:C00027, cpd:C00048"
Biosynthesis of secondary metabolites,rn:R00009,cpd:C00027,cpd:C00007
Biosynthesis of secondary metabolites,rn:R01392,cpd:C00258,cpd:C00168
Biosynthesis of secondary metabolites,rn:R01221,cpd:C00037,cpd:C00014
Biosynthesis of secondary metabolites,rn:R02558,cpd:C00844,cpd:C00561
Biosynthesis of secondary metabolites,rn:R10147,cpd:C00441,cpd:C20258
Biosynthesis of secondary metabolites,rn:R02964,cpd:C00828,cpd:C05819
Biosynthesis of secondary metabolites,rn:R03816,cpd:C03313,cpd:C02059
Biosynthesis of secondary metabolites,rn:R03313,cpd:C01165,cpd:C03287
Biosynthesis of secondary metabolites,rn:R08689,cpd:C11453,cpd:C11811
Biosynthesis of secondary metabolites,rn:R08210,cpd:C00235,cpd:C11811
Biosynthesis of secondary metabolites,rn:R02003,"cpd:C00341, cpd:C00129",cpd:C00448
Biosynthesis of secondary metabolites,rn:R02061,"cpd:C00129, cpd:C00448",cpd:C00353
Biosynthesis of secondary metabolites,rn:R01658,"cpd:C00129, cpd:C00235",cpd:C00341
Biosynthesis of secondary metabolites,rn:R05884,cpd:C11811,cpd:C00129
Biosynthesis of secondary metabolites,rn:R07411,cpd:C00032,cpd:C15672
Biosynthesis of secondary metabolites,rn:R00842,cpd:C00093,cpd:C00111
Biosynthesis of secondary metabolites,rn:R01797,cpd:C00416,cpd:C00269
Biosynthesis of secondary metabolites,rn:R01800,cpd:C00269,cpd:C02737
Biosynthesis of secondary metabolites,rn:R02055,cpd:C02737,cpd:C00350
Biosynthesis of secondary metabolites,rn:R02052,cpd:C00350,cpd:C00641
Biosynthesis of secondary metabolites,rn:R02239,cpd:C00641,cpd:C00416
Biosynthesis of secondary metabolites,rn:R01312,cpd:C00157,cpd:C00641
Biosynthesis of secondary metabolites,rn:R05794,cpd:C00269,cpd:C00157
Biosynthesis of secondary metabolites,rn:R07891,cpd:C16331,cpd:C16330
Biosynthesis of secondary metabolites,rn:R07895,cpd:C16335,cpd:C16334
Biosynthesis of secondary metabolites,rn:R07899,cpd:C16339,cpd:C16338
Biosynthesis of secondary metabolites,rn:R00479,cpd:C00311,cpd:C00048
Biosynthesis of secondary metabolites,rn:R00472,cpd:C00149,cpd:C00048
Biosynthesis of secondary metabolites,rn:R01771,cpd:C00263,cpd:C01102
Biosynthesis of secondary metabolites,rn:R01466,cpd:C01102,cpd:C00188
Biosynthesis of secondary metabolites,rn:R00586,cpd:C00065,cpd:C00979
Biosynthesis of secondary metabolites,rn:R00897,cpd:C00979,cpd:C00097
Biosynthesis of secondary metabolites,rn:R01731,cpd:C00826,cpd:C00254
Biosynthesis of secondary metabolites,rn:R00772,cpd:C00275,cpd:C00085
Biosynthesis of secondary metabolites,rn:R01818,cpd:C00275,cpd:C00636
Biosynthesis of secondary metabolites,rn:R00885,cpd:C00636,cpd:C00096
Biosynthesis of secondary metabolites,rn:R07281,cpd:C00199,cpd:C15556
Biosynthesis of secondary metabolites,rn:R00425,cpd:C00044,cpd:C01304
Biosynthesis of secondary metabolites,rn:R03459,cpd:C01304,cpd:C01268
Biosynthesis of secondary metabolites,rn:R03458,cpd:C04454,cpd:C01268
Biosynthesis of secondary metabolites,rn:R07280,cpd:C04454,cpd:C04732
Biosynthesis of secondary metabolites,rn:R04457,"cpd:C15556, cpd:C04732",cpd:C04332
Biosynthesis of secondary metabolites,rn:R00066,cpd:C04332,cpd:C00255
Biosynthesis of secondary metabolites,rn:R00549,cpd:C00255,cpd:C00061
Biosynthesis of secondary metabolites,rn:R00161,cpd:C00061,cpd:C00016
Biosynthesis of secondary metabolites,rn:R02421,cpd:C00498,cpd:C00718
Biosynthesis of secondary metabolites,rn:R02110,cpd:C00718,cpd:C00369
Biosynthesis of secondary metabolites,rn:R11261,cpd:C00369,cpd:C01935
Biosynthesis of secondary metabolites,rn:R02111,cpd:C00369,cpd:C00103
Biosynthesis of secondary metabolites,rn:R02985,cpd:C00844,cpd:C08325
Biosynthesis of secondary metabolites,rn:R05704,cpd:C00037,cpd:C01326
Biosynthesis of secondary metabolites,rn:R01824,cpd:C01935,cpd:C06400
Biosynthesis of secondary metabolites,rn:R11256,cpd:C06400,cpd:C01083
Biosynthesis of secondary metabolites,rn:R11329,cpd:C21284,cpd:C05770
Biosynthesis of secondary metabolites,rn:R04972,cpd:C05766,cpd:C05768
Biosynthesis of secondary metabolites,rn:R00851,cpd:C00093,cpd:C00681
Biosynthesis of secondary metabolites,rn:R02241,cpd:C00416,cpd:C00681
Biosynthesis of secondary metabolites,rn:R12000,cpd:C00748,cpd:C21835
Biosynthesis of secondary metabolites,rn:R10880,cpd:C12323,cpd:C17355
Biosynthesis of secondary metabolites,rn:R08639,cpd:C00103,cpd:C00092
Biosynthesis of secondary metabolites,rn:R00299,cpd:C00092,cpd:C00031
Biosynthesis of secondary metabolites,rn:R00771,cpd:C00092,cpd:C00085
Biosynthesis of secondary metabolites,rn:R00287,cpd:C00029,cpd:C00103
Biosynthesis of secondary metabolites,rn:R00010,cpd:C01083,cpd:C00031
Biosynthesis of secondary metabolites,rn:R02112,cpd:C00369,"cpd:C00721, cpd:C00208"
Biosynthesis of secondary metabolites,rn:R11262,cpd:C01935,cpd:C00208
Biosynthesis of secondary metabolites,rn:R01187,cpd:C04006,cpd:C00137
Biosynthesis of secondary metabolites,rn:R02328,cpd:C00103,cpd:C00842
Biosynthesis of secondary metabolites,rn:R06513,cpd:C00842,cpd:C11907
Biosynthesis of secondary metabolites,rn:R06514,cpd:C11907,cpd:C00688
Biosynthesis of secondary metabolites,rn:R02777,cpd:C03319,cpd:C00688
Biosynthesis of secondary metabolites,rn:R00927,"cpd:C00100, cpd:C00024",cpd:C03344
Biosynthesis of secondary metabolites,rn:R06590,cpd:C12214,cpd:C12215
Biosynthesis of secondary metabolites,rn:R08956,cpd:C18054,cpd:C00251
Biosynthesis of secondary metabolites,rn:R11671,cpd:C00083,cpd:C05223
Biosynthesis of secondary metabolites,rn:R00982,cpd:C00108,cpd:C02247
