Pathway,Reactions,Substrates,Products
Biosynthesis of secondary metabolites,rn:R00342,cpd:C00149,cpd:C00036
Biosynthesis of secondary metabolites,rn:R02164,cpd:C00042,cpd:C00122
Biosynthesis of secondary metabolites,rn:R00405,cpd:C00042,cpd:C00091
Biosynthesis of secondary metabolites,rn:R01197,cpd:C00026,cpd:C00091
Biosynthesis of secondary metabolites,rn:R01082,cpd:C00149,cpd:C00122
Biosynthesis of secondary metabolites,rn:R01899,cpd:C00311,cpd:C05379
Biosynthesis of secondary metabolites,rn:R00268,cpd:C05379,cpd:C00026
Biosynthesis of secondary metabolites,rn:R00209,cpd:C00022,cpd:C00024
Biosynthesis of secondary metabolites,rn:R00199,cpd:C00022,cpd:C00074
Biosynthesis of secondary metabolites,rn:R00703,cpd:C00186,cpd:C00022
Biosynthesis of secondary metabolites,rn:R00658,cpd:C00631,cpd:C00074
Biosynthesis of secondary metabolites,rn:R00235,cpd:C00033,cpd:C00024
Biosynthesis of secondary metabolites,rn:R00710,cpd:C00084,cpd:C00033
Biosynthesis of secondary metabolites,rn:R00746,cpd:C00469,cpd:C00084
Biosynthesis of secondary metabolites,rn:R00341,cpd:C00036,cpd:C00074
Biosynthesis of secondary metabolites,rn:R01518,cpd:C00631,cpd:C00197
Biosynthesis of secondary metabolites,rn:R01512,cpd:C00197,cpd:C00236
Biosynthesis of secondary metabolites,rn:R01061,cpd:C00118,cpd:C00236
Biosynthesis of secondary metabolites,rn:R01015,cpd:C00118,cpd:C00111
Biosynthesis of secondary metabolites,rn:R01068,cpd:C00354,"cpd:C00111, cpd:C00118"
Biosynthesis of secondary metabolites,rn:R00764,cpd:C00085,cpd:C00354
Biosynthesis of secondary metabolites,rn:R13199,cpd:C00668,cpd:C00085
Biosynthesis of secondary metabolites,rn:R00959,cpd:C00103,cpd:C00668
Biosynthesis of secondary metabolites,rn:R01786,cpd:C00267,cpd:C00668
Biosynthesis of secondary metabolites,rn:R02739,cpd:C00668,cpd:C01172
Biosynthesis of secondary metabolites,rn:R01602,cpd:C00267,cpd:C00221
Biosynthesis of secondary metabolites,rn:R01600,cpd:C00221,cpd:C01172
Biosynthesis of secondary metabolites,rn:R02736,cpd:C01172,cpd:C01236
Biosynthesis of secondary metabolites,rn:R02035,cpd:C01236,cpd:C00345
Biosynthesis of secondary metabolites,rn:R01528,cpd:C00345,cpd:C00199
Biosynthesis of secondary metabolites,rn:R01529,cpd:C00199,cpd:C00231
Biosynthesis of secondary metabolites,rn:R01067,"cpd:C00085, cpd:C00118","cpd:C00279, cpd:C00231"
Biosynthesis of secondary metabolites,rn:R08575,"cpd:C05382, cpd:C00118","cpd:C00085, cpd:C00279"
Biosynthesis of secondary metabolites,rn:R01641,"cpd:C05382, cpd:C00118","cpd:C00117, cpd:C00231"
Biosynthesis of secondary metabolites,rn:R01056,cpd:C00117,cpd:C00199
Biosynthesis of secondary metabolites,rn:R01049,cpd:C00117,cpd:C00119
Biosynthesis of secondary metabolites,rn:R01737,cpd:C00257,cpd:C00345
Biosynthesis of secondary metabolites,rn:R01826,"cpd:C00074, cpd:C00279",cpd:C04691
Biosynthesis of secondary metabolites,rn:R03083,cpd:C04691,cpd:C00944
Biosynthesis of secondary metabolites,rn:R03084,cpd:C00944,cpd:C02637
Biosynthesis of secondary metabolites,rn:R02412,cpd:C00493,cpd:C03175
Biosynthesis of secondary metabolites,rn:R03460,cpd:C03175,cpd:C01269
Biosynthesis of secondary metabolites,rn:R01714,cpd:C01269,cpd:C00251
Biosynthesis of secondary metabolites,rn:R01715,cpd:C00251,cpd:C00254
Biosynthesis of secondary metabolites,rn:R01373,cpd:C00254,cpd:C00166
Biosynthesis of secondary metabolites,rn:R00688,cpd:C00079,cpd:C00166
Biosynthesis of secondary metabolites,rn:R01728,cpd:C00254,cpd:C01179
Biosynthesis of secondary metabolites,rn:R00734,cpd:C00082,cpd:C01179
Biosynthesis of secondary metabolites,rn:R00985,cpd:C00251,cpd:C00108
Biosynthesis of secondary metabolites,rn:R01073,cpd:C04302,cpd:C00108
Biosynthesis of secondary metabolites,rn:R03509,cpd:C04302,cpd:C01302
Biosynthesis of secondary metabolites,rn:R03508,cpd:C01302,cpd:C03506
Biosynthesis of secondary metabolites,rn:R02722,cpd:C03506,cpd:C00078
Biosynthesis of secondary metabolites,rn:R00674,cpd:C00463,cpd:C00078
Biosynthesis of secondary metabolites,rn:R02340,cpd:C03506,cpd:C00463
Biosynthesis of secondary metabolites,rn:R01954,"cpd:C00327, cpd:C00049",cpd:C03406
Biosynthesis of secondary metabolites,rn:R01086,cpd:C03406,"cpd:C00062, cpd:C00122"
Biosynthesis of secondary metabolites,rn:R00552,cpd:C00062,cpd:C00327
Biosynthesis of secondary metabolites,rn:R00480,cpd:C00049,cpd:C03082
Biosynthesis of secondary metabolites,rn:R02291,cpd:C00441,cpd:C03082
Biosynthesis of secondary metabolites,rn:R04198,cpd:C03972,cpd:C20258
Biosynthesis of secondary metabolites,rn:R01978,cpd:C00356,"cpd:C00024, cpd:C00332"
Biosynthesis of secondary metabolites,rn:R02081,cpd:C00356,cpd:C00418
Biosynthesis of secondary metabolites,rn:R02245,cpd:C00418,cpd:C01107
Biosynthesis of secondary metabolites,rn:R03245,cpd:C01107,cpd:C01143
Biosynthesis of secondary metabolites,rn:R01121,cpd:C01143,cpd:C00129
Biosynthesis of secondary metabolites,rn:R05634,cpd:C11435,cpd:C11436
Biosynthesis of secondary metabolites,rn:R01123,cpd:C00129,cpd:C00235
Biosynthesis of secondary metabolites,rn:R00238,cpd:C00024,cpd:C00332
Biosynthesis of secondary metabolites,rn:R00702,cpd:C00448,cpd:C03428
Biosynthesis of secondary metabolites,rn:R01072,cpd:C03090,cpd:C00119
Biosynthesis of secondary metabolites,rn:R04144,cpd:C03090,cpd:C03838
Biosynthesis of secondary metabolites,rn:R04325,cpd:C03838,cpd:C04376
Biosynthesis of secondary metabolites,rn:R04463,cpd:C04376,cpd:C04640
Biosynthesis of secondary metabolites,rn:R04208,cpd:C04640,cpd:C03373
Biosynthesis of secondary metabolites,rn:R07404,cpd:C03373,cpd:C15667
Biosynthesis of secondary metabolites,rn:R07405,cpd:C15667,cpd:C04751
Biosynthesis of secondary metabolites,rn:R04591,cpd:C04751,cpd:C04823
Biosynthesis of secondary metabolites,rn:R04559,cpd:C04823,cpd:C04677
Biosynthesis of secondary metabolites,rn:R04560,cpd:C04677,cpd:C04734
Biosynthesis of secondary metabolites,rn:R01127,cpd:C00130,cpd:C04734
Biosynthesis of secondary metabolites,rn:R01130,cpd:C00130,cpd:C00655
Biosynthesis of secondary metabolites,rn:R02143,cpd:C01762,cpd:C00385
Biosynthesis of secondary metabolites,rn:R02142,cpd:C00655,cpd:C00385
Biosynthesis of secondary metabolites,rn:R01773,cpd:C00263,cpd:C00441
Biosynthesis of secondary metabolites,rn:R01777,cpd:C00263,cpd:C01118
Biosynthesis of secondary metabolites,rn:R03260,cpd:C01118,"cpd:C02291, cpd:C00042"
Biosynthesis of secondary metabolites,rn:R01286,cpd:C02291,cpd:C00155
Biosynthesis of secondary metabolites,rn:R00650,cpd:C00155,cpd:C00073
Biosynthesis of secondary metabolites,rn:R08620,cpd:C17210,cpd:C17212
Biosynthesis of secondary metabolites,rn:R08622,cpd:C17211,cpd:C17213
Biosynthesis of secondary metabolites,rn:R00451,cpd:C00680,cpd:C00047
Biosynthesis of secondary metabolites,rn:R00483,cpd:C00152,cpd:C00049
Biosynthesis of secondary metabolites,rn:R00122,cpd:C00020,cpd:C00008
Biosynthesis of secondary metabolites,rn:R00086,cpd:C00008,cpd:C00002
Biosynthesis of secondary metabolites,rn:R02413,cpd:C00493,cpd:C02637
Biosynthesis of secondary metabolites,rn:R00667,cpd:C00077,cpd:C01165
Biosynthesis of secondary metabolites,rn:R01248,cpd:C00148,cpd:C03912
Biosynthesis of secondary metabolites,rn:R01122,cpd:C00235,cpd:C04432
Biosynthesis of secondary metabolites,rn:R03443,cpd:C01250,cpd:C04133
Biosynthesis of secondary metabolites,rn:R02649,cpd:C00624,cpd:C04133
Biosynthesis of secondary metabolites,rn:R00259,cpd:C00025,cpd:C00624
Biosynthesis of secondary metabolites,rn:R00093,cpd:C00025,cpd:C00026
Biosynthesis of secondary metabolites,rn:R04109,cpd:C02987,cpd:C03741
Biosynthesis of secondary metabolites,rn:R02272,cpd:C00430,cpd:C03741
Biosynthesis of secondary metabolites,rn:R00036,cpd:C00430,cpd:C00931
Biosynthesis of secondary metabolites,rn:R00084,cpd:C00931,cpd:C01024
Biosynthesis of secondary metabolites,rn:R03165,cpd:C01024,cpd:C01051
Biosynthesis of secondary metabolites,rn:R03197,cpd:C01051,cpd:C03263
Biosynthesis of secondary metabolites,rn:R03222,cpd:C01079,cpd:C02191
Biosynthesis of secondary metabolites,rn:R00310,cpd:C02191,cpd:C00032
Biosynthesis of secondary metabolites,rn:R07412,cpd:C15672,cpd:C15670
Biosynthesis of secondary metabolites,rn:R03194,cpd:C01051,cpd:C02463
Biosynthesis of secondary metabolites,rn:R03947,cpd:C02463,cpd:C05778
Biosynthesis of secondary metabolites,rn:R09737,cpd:C19858,cpd:C19859
Biosynthesis of secondary metabolites,rn:R01717,cpd:C00251,cpd:C00885
Biosynthesis of secondary metabolites,rn:R08165,cpd:C00885,cpd:C16519
Biosynthesis of secondary metabolites,rn:R08166,cpd:C16519,cpd:C05817
Biosynthesis of secondary metabolites,rn:R04031,cpd:C02730,cpd:C05817
Biosynthesis of secondary metabolites,rn:R04030,cpd:C02730,cpd:C03160
Biosynthesis of secondary metabolites,rn:R07263,cpd:C03160,cpd:C15547
Biosynthesis of secondary metabolites,rn:R07262,cpd:C15547,cpd:C03657
Biosynthesis of secondary metabolites,rn:R10757,"cpd:C05847, cpd:C03657",cpd:C19847
Biosynthesis of secondary metabolites,rn:R09736,cpd:C19847,cpd:C05819
Biosynthesis of secondary metabolites,rn:R00226,cpd:C06010,cpd:C00022
Biosynthesis of secondary metabolites,rn:R05071,cpd:C06010,cpd:C04181
Biosynthesis of secondary metabolites,rn:R04440,cpd:C04272,cpd:C04181
Biosynthesis of secondary metabolites,rn:R04441,cpd:C04272,cpd:C00141
Biosynthesis of secondary metabolites,rn:R01214,cpd:C00183,cpd:C00141
Biosynthesis of secondary metabolites,rn:R03968,cpd:C02504,cpd:C02631
