Organism,Degree Centrality,Degree Centrality,Degree Centrality,Betweenness Centrality,Betweenness Centrality,Betweenness Centrality,Closeness Centrality,Closeness Centrality,Closeness Centrality,Eigenvector Centrality,Eigenvector Centrality,Eigenvector Centrality
,mean,max,min,mean,max,min,mean,max,min,mean,max,min
bsu,0.0021248241652476077,0.0105871029836381,0.0009624639076034,0.022775714455060936,0.3740582196872755,0.0,0.04373509119742854,0.0727438213260519,0.0231573316691555,0.005601204779573006,0.3717000795795063,3.304985624080832e-13
cdi,0.0030070666065253318,0.013550135501355,0.0013550135501355,0.042628978111800275,0.6030540705964453,0.0,0.03436479993263723,0.0546869210818821,0.0127816553802455,0.007394632177952683,0.3792533733434073,2.342203119413495e-12
eco,0.0017748574449604519,0.0103174603174603,0.0007936507936507,0.019056569370596996,0.4143436719129578,0.0,0.043722416848082715,0.0725012946659761,0.0143817557156064,0.004951745829540349,0.3729726899509958,2.4443884812000177e-21
hpy,0.004563452696232722,0.0166320166320166,0.002079002079002,0.03955285280492745,0.477316167942939,0.0,0.05450998261867295,0.0887126521578753,0.0263619423435273,0.011044193848603044,0.3822980276996902,8.749779156075091e-12
lba,0.0035433383649797266,0.013029315960912,0.001628664495114,0.034279021058565576,0.5211198029940463,0.0,0.050042055627916034,0.081195450938905,0.016936996579499,0.00980281926293522,0.4054793262069381,1.4455714905116357e-14
mtu,0.0023146719338311937,0.0126050420168067,0.0010504201680672,0.02846049028977328,0.5647370796479916,0.0,0.039691124232121226,0.064380875092987,0.0121715783417503,0.005975240798135696,0.3772222991922744,6.180707594312406e-17
pae,0.0017203385371738179,0.0109546165884194,0.0007824726134585,0.018523973159479432,0.4232689988422625,0.0,0.044239521354112896,0.0738088362691308,0.0145453717719631,0.004770188697152806,0.3710823235462101,9.472703841613476e-20
sau,0.002534253907086261,0.011574074074074,0.0011574074074074,0.026963056734522015,0.5866008771549688,0.0,0.04430830464518836,0.0736321799897733,0.0235627795352896,0.006139435863449428,0.3825957689760157,2.3559110103930853e-12
sen,0.0024173193274191576,0.011853448275862,0.0010775862068965,0.02446819144971668,0.362014043673498,0.0,0.046359969766339486,0.0733191119538595,0.0210550198525241,0.006172883026638436,0.3739143958487879,4.361369330129772e-18
spn,0.0038297227692773083,0.0156794425087108,0.0017421602787456,0.04002555009778247,0.5512495084005714,0.0,0.04555528307941588,0.0722557905337361,0.021875833682686,0.010381958965069632,0.4156944071081677,4.2552367984972564e-13
