Organism,Clustering Coefficient,Average Path Length,Density,Number of Nodes
eco,0.0,24.992220837581662,0.0017748574449605377,1261
bsu,0.0,24.6411916043533,0.0021248241652476493,1040
sau,0.0,24.26911796189253,0.002534253907086277,865
mtu,0.0,28.065926265574436,0.002314671933831245,953
pae,0.0,24.65511372465529,0.001720338537173873,1279
sen,0.0,23.682013473887384,0.0024173193274191753,929
hpy,0.0,19.985369346365196,0.004563452696232779,482
lba,0.0,22.01303990890072,0.003543338364979741,615
spn,0.0,23.93464020602939,0.003829722769277382,575
cdi,0.0,32.41755686839683,0.0030070666065253344,739
